Course,Most_Similar_Course,Similarity
POSC 201,POSC 322,0.6276437
POSC 206.00,PSYC 389,0.8462728
POSC 206.00,ENGL 230,0.7672558
POSC 206.00,CAMS 187,0.67384845
POSC 230,ARTS 262,0.7139183
POSC 230,PSYC 200,0.6994607
POSC 230,CS 311,0.69347435
POSC 231,ECON 269,0.67581236
POSC 231,HIST 205,0.6437435
POSC 231,SOAN 313,0.64004374
POSC 232.01,STAT 230,0.6753043
POSC 232.01,ASTR 113,0.6727564
POSC 232.01,STAT 250,0.67231244
POSC 232.02,SPAN 103,0.79730403
POSC 232.02,ARBC 206,0.79688483
POSC 232.02,FREN 103,0.74534196
POSC 242,HIST 251,0.74447066
POSC 242,CLAS 123,0.73611975
POSC 242,RELG 110,0.71099234
POSC 252,GWSS 398.00,0.7071619
POSC 252,ARTH 214,0.6938501
POSC 252,CS 254,0.66754025
POSC 266,GWSS 200,0.6913033
POSC 266,LTAM 220,0.689194
POSC 266,ENGL 202,0.6822605
POSC 272,SOAN 312,0.6782932
POSC 272,ARBC 223,0.64778537
POSC 272,ENGL 395.00,0.6403195
POSC 302,POSC 333,0.7898312
POSC 302,RELG 213,0.76533324
POSC 302,POSC 160,0.74302167
POSC 315,HIST 270,0.8380101
POSC 315,SOAN 323,0.7833154
POSC 315,HIST 308,0.7604935
POSC 322,HIST 347,0.7829732
POSC 322,HIST 205,0.7827181
POSC 322,CLAS 123,0.7782493
POSC 333,POSC 302,0.7898312
POSC 333,CS 311,0.7622874
POSC 333,CAMS 186,0.7510781
POSC 348,AMST 269,0.72692955
POSC 348,POSC 120,0.72340417
POSC 348,GRK 226,0.7115665
PSYC 110,ENGL 268,0.72004896
PSYC 110,LING 135,0.70679253
PSYC 110,MATH 241,0.66873986
PSYC 200,STAT 250,0.8397382
PSYC 200,CS 254,0.82729125
PSYC 200,CS 111,0.81556845
PSYC 201,CHEM 234,0.7966071
PSYC 201,CHEM 351,0.7737761
PSYC 201,CHEM 348,0.7623062
